0;8;42
0;10;37
0;12;37
0;0;47
0;2;39
0;4;46
0;6;37
0;8;42
0;10;37
0;12;39
0;14;36
0;16;34
0;18;29
0;20;25
0;22;30
0;24;28
0;26;21
0;28;41
0;30;59
0;32;79
0;34;17
0;36;16
0;38;1
0;40;3
0;42;2
0;44;2
0;46;3
0;48;2
0;50;3
0;52;2
0;54;2
0;56;2
0;58;2
0;60;3
0;62;2
0;64;3
0;66;2
0;68;2
0;70;42
0;72;103
0;74;226
0;76;262
0;78;317
0;80;340
2;0;45
2;2;45
2;4;42
2;6;46
2;8;37
2;10;38
2;12;34
2;14;38
2;16;10
2;18;0
2;20;28
2;22;40
2;24;45
2;26;25
2;28;64
2;30;218
2;32;278
2;34;321
2;36;108
2;38;17
2;40;0
2;42;7
2;44;4
2;46;2
2;48;2
2;50;2
2;52;2
2;54;2
2;56;2
2;58;3
2;60;7
2;62;5
2;64;2
2;66;3
2;68;2
2;70;54
2;72;371
2;74;274
2;76;328
2;78;340
2;80;352
4;0;37
4;2;37
4;4;37
4;6;58
4;8;36
4;10;40
4;12;37
4;14;33
4;16;47
4;18;29
4;20;45
4;22;35
4;24;30
4;26;20
4;28;58
4;30;219
4;32;262
4;34;282
4;36;341
4;38;234
4;40;54
4;42;2
4;44;2
4;46;7
4;48;3
4;50;3
4;52;2
4;54;3
4;56;2
4;58;23
4;60;3
4;62;5
4;64;21
4;66;219
4;68;419
4;70;477
4;72;393
4;74;332
4;76;329
4;78;351
4;80;362
6;0;42
6;2;46
6;4;45
6;6;77
6;8;38
6;10;43
6;12;36
6;14;42
6;16;47
6;18;34
6;20;32
6;22;54
6;24;13
6;26;47
6;28;38
6;30;189
6;32;251
6;34;279
6;36;293
6;38;335
6;40;355
6;42;112
6;44;4
6;46;2
6;48;2
6;50;3
6;52;7
6;54;2
6;56;3
6;58;2
6;60;0
6;62;295
6;64;476
6;66;436
6;68;371
6;70;324
6;72;317
6;74;313
6;76;306
6;78;351
6;80;374
8;0;38
8;2;42
8;4;35
8;6;45
8;8;37
8;10;41
8;12;34
8;14;36
8;16;42
8;18;33
8;20;63
8;22;37
8;24;13
8;26;38
8;28;30
8;30;26
8;32;190
8;34;240
8;36;274
8;38;282
8;40;325
8;42;418
8;44;173
8;46;2
8;48;2
8;50;5
8;52;2
8;54;2
8;56;71
8;58;340
8;60;483
8;62;395
8;64;361
8;66;318
8;68;313
8;70;307
8;72;309
8;74;300
8;76;288
8;78;351
8;80;387
10;0;42
10;2;49
10;4;29
10;6;63
10;8;33
10;10;38
10;12;37
10;14;38
10;16;43
10;18;38
10;20;46
10;22;60
10;24;54
10;26;25
10;28;31
10;30;9
10;32;13
10;34;195
10;36;266
10;38;274
10;40;297
10;42;314
10;44;393
10;46;320
10;48;25
10;50;2
10;52;62
10;54;332
10;56;484
10;58;418
10;60;353
10;62;316
10;64;335
10;66;309
10;68;309
10;70;305
10;72;285
10;74;234
10;76;206
10;78;345
10;80;394
12;0;42
12;2;42
12;4;38
12;6;51
12;8;33
12;10;33
12;12;35
12;14;33
12;16;38
12;18;42
12;20;50
12;22;35
12;24;21
12;26;24
12;28;17
12;30;25
12;32;17
12;34;5
12;36;203
12;38;250
12;40;275
12;42;281
12;44;302
12;46;343
12;48;409
12;50;375
12;52;450
12;54;383
12;56;349
12;58;309
12;60;308
12;62;305
12;64;305
12;66;290
12;68;279
12;70;214
12;72;141
12;74;119
12;76;235
12;78;359
12;80;404
14;0;32
14;2;46
14;4;42
14;6;13
14;8;36
14;10;33
14;12;38
14;14;33
14;16;42
14;18;39
14;20;37
14;22;32
14;24;25
14;26;21
14;28;31
14;30;26
14;32;16
14;34;6
14;36;6
14;38;169
14;40;250
14;42;278
14;44;286
14;46;297
14;48;341
14;50;413
14;52;344
14;54;325
14;56;305
14;58;305
14;60;302
14;62;982
14;64;1003
14;66;1003
14;68;995
14;70;1011
14;72;991
14;74;993
14;76;996
14;78;992
14;80;993
16;0;42
16;2;63
16;4;46
16;6;45
16;8;50
16;10;42
16;12;33
16;14;32
16;16;37
16;18;34
16;20;32
16;22;34
16;24;33
16;26;30
16;28;54
16;30;30
16;32;9
16;34;13
16;36;984
16;38;986
16;40;990
16;42;988
16;44;989
16;46;987
16;48;991
16;50;986
16;52;987
16;54;990
16;56;988
16;58;1009
16;60;990
16;62;988
16;64;990
16;66;990
16;68;997
16;70;142
16;72;170
16;74;159
16;76;235
16;78;368
16;80;392
